"Relative Time (Process)","different-plant-76 - system/gpu.0.memory","different-plant-76 - system/gpu.0.memory__MIN","different-plant-76 - system/gpu.0.memory__MAX","different-plant-76 - system/gpu.1.memory","different-plant-76 - system/gpu.1.memory__MIN","different-plant-76 - system/gpu.1.memory__MAX","different-plant-76 - system/gpu.2.memory","different-plant-76 - system/gpu.2.memory__MIN","different-plant-76 - system/gpu.2.memory__MAX","different-plant-76 - system/gpu.3.memory","different-plant-76 - system/gpu.3.memory__MIN","different-plant-76 - system/gpu.3.memory__MAX","different-plant-76 - system/gpu.4.memory","different-plant-76 - system/gpu.4.memory__MIN","different-plant-76 - system/gpu.4.memory__MAX","different-plant-76 - system/gpu.5.memory","different-plant-76 - system/gpu.5.memory__MIN","different-plant-76 - system/gpu.5.memory__MAX","different-plant-76 - system/gpu.6.memory","different-plant-76 - system/gpu.6.memory__MIN","different-plant-76 - system/gpu.6.memory__MAX","different-plant-76 - system/gpu.7.memory","different-plant-76 - system/gpu.7.memory__MIN","different-plant-76 - system/gpu.7.memory__MAX"
"16.685908298","0","0","0","0","0","0","0","0","0","0","0","0","19","19","19","0","0","0","48","48","48","51","51","51"
"31.685567442","0","0","0","0","0","0","0","0","0","0","0","0","15","15","15","0","0","0","37","37","37","39","39","39"
"46.686398988","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","0","0","0","24","24","24","39","39","39"
"61.69409643","0","0","0","2","2","2","26","26","26","18","18","18","29","29","29","19","19","19","35","35","35","58","58","58"
"76.707428375","0","0","0","0","0","0","14","14","14","5","5","5","22","22","22","15","15","15","57","57","57","51","51","51"
"91.700717107","0","0","0","0","0","0","9","9","9","7","7","7","21","21","21","13","13","13","51","51","51","54","54","54"
"106.902018255","2","2","2","2","2","2","5","5","5","18","18","18","22","22","22","0","0","0","53","53","53","58","58","58"
"121.692308984","2","2","2","0","0","0","8","8","8","17","17","17","13","13","13","19","19","19","38","38","38","46","46","46"
"136.685339623","1","1","1","0","0","0","7","7","7","26","26","26","27","27","27","6","6","6","52","52","52","55","55","55"
"151.696512196","0","0","0","0","0","0","6","6","6","7","7","7","30","30","30","13","13","13","53","53","53","54","54","54"
"166.692462856","1","1","1","0","0","0","7","7","7","26","26","26","30","30","30","5","5","5","57","57","57","49","49","49"
"181.696311191","2","2","2","2","2","2","18","18","18","0","0","0","23","23","23","6","6","6","37","37","37","53","53","53"
"196.702412345","1","1","1","0","0","0","6","6","6","26","26","26","28","28","28","6","6","6","54","54","54","56","56","56"
"211.684382673","0","0","0","1","1","1","19","19","19","0","0","0","31","31","31","13","13","13","43","43","43","47","47","47"
"226.700195152","2","2","2","2","2","2","26","26","26","18","18","18","25","25","25","19","19","19","37","37","37","43","43","43"
"241.697056395","0","0","0","0","0","0","0","0","0","25","25","25","30","30","30","5","5","5","56","56","56","60","60","60"
"256.682500413","2","2","2","2","2","2","26","26","26","9","9","9","27","27","27","19","19","19","33","33","33","46","46","46"